tranche zincid SMILES
H24P020 ZINCo80000167GxC C[C@@H]1CN([C@H](c2cn[nH]c2)c2nnnn2C)CC2(CCOCC2)O1
H28P160 ZINCsm00000M6BN6 CCn1ccc(C(=O)NCC[C@H]2CC(F)(F)CN2C(=O)C[C@@H](C)OC)cc1=O
H25P180 ZINCpo00001BLwav CC#CC[C@H](CO)NC(=O)[C@H]1C[C@H](F)CN1C(=O)[C@H](CC)C/C=C/C
H28P050 ZINCsb00001RqCsh Cn1nc(C(=O)N2CCN(C(=O)[C@](C)(O)C3CCCCC3)C[C@@H](O)C2)cc1F
H19P030 ZINCj900000d9knh Cc1nn(CCO)cc1C(=O)NCC[C@H](C)CCO
H19P310 ZINCjB00000cuh2d C=CCOC(=O)COC(=O)c1c(F)ccc(Br)c1Cl
H27P140 ZINCrk00000RijNF Cc1ccccc1CC(=O)NC/C=C\CNC(=O)[C@H](CC(C)C)NC(N)=O
H25P140 ZINCpk00000SIpt7 CC[C@H]1COCCN(C(=O)[C@@H](NC(=O)C=CC(C)C)C2(O)CCC2)C1
H29P180 ZINCto00001So1oN CCc1ccoc1C(=O)NC[C@]1(CO)CCCN(C(=O)C[C@@H]2CC=CCN2C)C1
H28P280 ZINCsy00000mk6H5 C#Cc1ccc(CC(=O)NC2(C)CN(C(=O)[C@H]3CCCCC3(F)F)C2)c(F)c1
H27P460 ZINCrQ000008CrsR Cc1cc(C(=O)N2CC[C@@H]([C@@H](C)N=c3[nH]c4ccc(F)cc4s3)C2)c(C)o1
H27P230 ZINCrt0000052NtI CC(C)(CCCO)C(=O)N[C@@]1(C)CCN(C(=O)c2cnc3occc3c2)C1
H29P070 ZINCtd00002pF66W C[C@H]1CN(C(=O)[C@H](CCC(N)=O)N=[N+]=[N-])C[C@@H](C)N1C(=O)[C@H]1CCc2nccn21
H28P100 ZINCsg00000FCoKp CCc1ncncc1C(=O)N[C@H]1CN(C(=O)c2ccc(O)c(Cl)n2)C[C@H]1OC
H26P290 ZINCqz00000xhIm4 Cc1ccc(CNC(=O)CNC(C)(C)[C@H](O)c2ccc(F)cc2F)cc1
H28P340 ZINCsE000004Ocle CC(=O)c1ccc(NC(=O)[C@@]23C[C@H]4CC[C@@H]([C@@H]2C3)N4C(=O)OC(C)(C)C)nc1
H27P200 ZINCrq00000RvRTC Cc1[nH]nc(CN(C[C@H]2COC(C)(C)O2)C(=O)c2n[nH]c3c2CCC3)c1C
H28P170 ZINCsn000003v7pt CSc1nsc(N2CC3(CO[C@@H](CNC(=O)[C@H]4CCCn5nccc54)C3)C2)n1
H26M000 ZINCq500000gkBNN CN1CCC(C(=O)N[C@H]2C[C@H]3CC[C@@H]([C@@H]2F)N3C(=O)CS(C)(=O)=O)CC1
H29P090 ZINCtf0000065x6V O=C(NCCCOC1CCN(C(=O)Cn2cccn2)CC1)[C@@H]1CC(C2CC2)=NO1
H28P210 ZINCsr00000qiz32 Cc1ccccc1CC(=O)N(C)CCCCC(=O)N1C[C@@H](C)C[C@H](C(N)=O)C1
H28P040 ZINCsa00002Bfoyh CN1C[C@](NC[C@@H]2CNC(=O)O2)(c2nnnn2-c2ccccc2Cl)CCC1=O
H28P100 ZINCsg00000FCrgh CCc1ncoc1C(=O)N1CCN(C(=O)CCc2ccc(F)nc2)C[C@H]1CO
H22M000 ZINCm500000qmBNC O=C(NCCCO)[C@@H]1[C@H]2CN(C(=O)Cn3cc(Cl)cn3)C[C@H]21
H28P290 ZINCsz00000hoQxr CC(=O)NC[C@H](CC(=O)NC[C@H](C)NC(=O)C=C(C)c1cccs1)CC(C)C
H25P400 ZINCpK00000kqyGz C[C@H](NC(=O)[C@H]1C[C@H]2COC[C@H](C2)C1)C1(c2ccccc2)CCCC1
H27P140 ZINCrk00001S4enF CC1(S(=O)(=O)NCCCO[C@H]2C[C@H](NC(=O)CCOCC(F)(F)F)C2)CC1
H28P130 ZINCsj00001dmnuf COc1cnnc(C(=O)N2C[C@@H]3CC[C@H](C2)CN3C(=O)c2cc(CF)on2)c1
H19P030 ZINCj900000d9kub Cc1nnc(CNC(=O)N[C@@](C)(CO)C(C)C)n1C
H29P050 ZINCtb00000k7Jps COCCC1(NC(=O)c2cnn3c2OCCC3)CCN(C(=O)[C@H]2C[C@@H](O)C2)CC1
H28P280 ZINCsy00000mk6GH C#Cc1cccc(C(=O)NC2CC(CNC(=O)[C@](C)(C=C)CCOC)C2)c1C
H28P400 ZINCsK00000gXPff Cc1nnsc1C(=O)N(Cc1c(F)ccc2[nH]ccc12)C[C@H]1CCC[C@@H](C)O1
H27P070 ZINCrd00000lDuoH COCC(=O)N(C)[C@H]1CCN(C(=O)CCNS(=O)(=O)c2cccs2)C[C@H]1C
H24P260 ZINCow00000otob6 CCN(CC)C(=O)CSCC(=O)NC[C@@H](F)c1ccc(F)c(F)c1
H27P120 ZINCri00000RieJq CCNC(=O)CCCC(=O)NCCC1CC(NC(=O)c2ccn(CC)n2)C1
H28P150 ZINCsl00001dmnun COc1cnnc(C(=O)NC2(C)CCN(C(=O)[C@@]34CSC[C@@H]3C4(F)F)CC2)c1
H24P360 ZINCoG00000aI4Db O=C([C@@H]1C[C@H]1CCl)N(Cc1ccccc1)C[C@H](O)c1ccccc1
H24P300 ZINCoA00000gZZiH CSCC(=O)N[C@H]1CC[C@@](C)(CNC(=O)[C@H]2CC[C@@](C)(F)CC2)C1
H29P130 ZINCtj00000qI8hf CCn1c(C(=O)NCc2ncoc2CCNC(=O)[C@H]2C[C@@H]2C(F)(F)F)cnc1O
H29M000 ZINCt500002pFEuT Cn1nc(CNC(=O)C2(CO)CC(C)(C)C2)cc1C(=O)N1CC(N2CC(O)C2)C1
H27P190 ZINCrp00000yyKQ3 COC(OC)C(=O)N[C@H]1CCN(C(=O)c2n[nH]c3ccc(Br)cc23)C[C@@H]1C
H26P130 ZINCqj00000rr7RT COCCn1c(-c2cccc(CO)c2)nnc1N1CCN(C2CC2)CC1
H27P310 ZINCrB00000aXSBZ C=CCC1(C(=O)NCC2(CNC(=O)CCCC)CC(F)(F)C2)CCOCC1
H24M100 ZINCo40000167Gxu C[C@@H]1CN([C@@H](c2cn(C)cn2)c2nnnn2C)CCN1S(C)(=O)=O
H27P320 ZINCrC00000rSZT4 CC(C)(C)n1ncc(C(=O)N2CC[C@H](Oc3ccc(C(=O)O)cc3)C2)c1Cl
H28P100 ZINCsg00000FCkvd CCc1ncncc1C(=O)N1[C@H]2CC[C@@H]1C[C@H]2CNC(=O)c1cn(CC)nn1
H29P130 ZINCtj00000qI7oy CCn1c(C(=O)NC[C@H]2CCN(C(=O)c3cc(C#N)cn3C)C[C@H]2C)cnc1O
H28P230 ZINCst00000isYEb Cc1c(Cl)ccnc1C(=O)N(C)CC(C)(C)CNC(=O)C[C@H]1CCCC(=O)N1
H29P320 ZINCtC000001Fvze CC[C@@H]1CC[C@@H](C(=O)N2CC(C)(C)OC3(CN(C(=O)c4nc(Cl)c(Cl)s4)C3)C2)O1
H19P030 ZINCj900000d9kIB Cc1noc(CN(C)C(=O)[C@@H](C)OCCN(C)C)n1
H29P200 ZINCtq000007wqdX CC(C)OCC1(C(=O)NC[C@@H]2CCN(C(=O)C(=O)c3cccn3C)C[C@@H]2C)CC1
H29P340 ZINCtE00000r82s8 CC1=C(C(=O)NC[C@H]2C=C[C@@H](NC(=O)[C@@H]3CSC(C4=CC=CC=C4)=N3)C2)SC=C1
H29P150 ZINCtl00000PCEOX O=C([C@H]1CCN1C1CCCC1)N1CCN(C(=O)[C@H]2C[C@@](F)(CO)C2)C[C@@H]1C1CC1
H29P440 ZINCtO00000NhJyt COc1cc(C)nc(N2C[C@H]3[C@@H]([C@H]2C(=O)Nc2cc(Br)c(Cl)cc2F)C3(C)C)n1
H28P030 ZINCs900002Bfoza CN1CCN(C)[C@@H](C(=O)N2CC(C)(C)C[C@H]2C(=O)NC[C@H]2C[C@@H](N(C)C)C2)C1
H28P300 ZINCsA00000cXS5M Cc1ncc(C=CC(=O)N[C@H]2[C@H](CNC(=O)C#CC3CC3)CCC23CCC3)s1
H29P220 ZINCts00000s9veU C=C=CC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCN(C(=O)[C@]2(Cl)CC2(F)F)CC1
H23P330 ZINCnD00000d9rKA COC(=O)[C@@H]1CCN(C(=O)Cc2cc(Cl)ccc2Cl)[C@H]1C1CC1
H29P040 ZINCta00000hiw7i CCc1cn2c(n1)CC[C@H](C(=O)N[C@H]1CCCCN(C(=O)CNC(=O)NC)C1)C2
H28P020 ZINCs800001RseQI O=C(c1cccnc1O)N1CCOC[C@@H](C(=O)N2CCc3cncnc3C2)C1
H28P430 ZINCsN000000VjnF Cc1nc2ccccc2c(C)c1CC(=O)NCc1coc(-c2ccccc2)n1
H28P200 ZINCsq000008xaRC CCCC[C@@H](O)C(=O)N[C@@H](CNC(=O)[C@]1(C(F)(F)F)C[C@@H](O)C1)C1CCCC1
H29P190 ZINCtp00000KOhNl CCc1nc(C)c(C(=O)NCc2ncoc2CCNC(=O)C2(C#N)CC=CC2)o1
H29P130 ZINCtj00000qI0mq CCn1c(C(=O)N2CC[C@@H]3CC[C@@H](NC(=O)C[C@H](C)CC(=O)OC)[C@@H]32)cnc1O
H27P210 ZINCrr00000RvRTY Cc1[nH]nc(CNC(=O)/C=C/C(C)(C)NC(=O)CCc2ccccn2)c1C
H24P060 ZINCoc0000065nf8 Cn1cnc(C(=O)NC[C@@H]2CCN2C(=O)c2cnc(C3CC3)[nH]2)c1
H29M000 ZINCt500002pF67z C[C@@H]1CN(C(=O)[C@H](Cn2cccn2)NC(=O)C[C@@]2(O)CCOC2)CC[C@@H]1N(C)C
H29P500 ZINCtU00000tS4Pm CCCCC[C@@H](CC)C(=O)N(CC)[C@@H]1CCCN(C(=O)C(C)(C)CCC#N)CC1
H27P330 ZINCrD00000rSZTj CC(C)(CNc1ccccc1[N+](=O)[O-])C(=O)NCCOc1ccc(Br)nc1
H28P230 ZINCst00000isY71 CCC(CC)CCCC(=O)NCC1(O)CC(NC(=O)[C@@H](C)Cc2cnc[nH]2)C1
H29P090 ZINCtf0000065qy1 O=C(NCCC1(O)CN(C(=O)c2cccc(O)n2)C1)c1c(F)c(F)cc(F)c1F
H29P240 ZINCtu00000eU2vL CSc1cnn(C)c1C(=O)N[C@H]1CCC[C@@H](CNC(=O)Cc2ccc(C)nc2)C1
H29P290 ZINCtz000004Jkpx CC(C)CO[C@H](C)C(=O)N1CCC[C@@H](C)[C@H]1CNC(=O)c1cc(F)c(N)cc1F
H29P380 ZINCtI000019Msdw CC1CC2(C1)CC(NCCOc1cncc(Cl)c1)(c1nnnn1CC(C)(C)C)C2
H29P170 ZINCtn00001So1ox CCc1ccoc1C(=O)N1CC(C)(C)C[C@@H]1CC(=O)N=c1ccn(CC(N)=O)[nH]1
H27P320 ZINCrC00000rSZTG CC(C)(C)N(Cc1ccccc1)C(=O)COC(=O)c1cccc2nnoc12
H25P220 ZINCps00000m9YbN C=CCCC(=O)N1CCC([C@@H](CO)NC(=O)C2(C)CCSCC2)CC1
H29P240 ZINCtu00000eU45p CSc1nc(C(=O)N2C[C@@H](C)[C@@H](CNC(=O)c3cnoc3C)C2)c2ccccn12
H27P170 ZINCrn00001eRwXO CCc1ncc(C(=O)NC2CC(CNC(=O)c3cnc(OC)c(F)c3)C2)o1
H27P070 ZINCrd00000lDt8w COCC(=O)N(C)CC(=O)N[C@H]1CCC12CN(C(=O)c1cc(C)oc1C)C2
H23P110 ZINCnh00001A2MJ3 C[C@@H](CNC(=O)Cc1cn(C)cn1)CNC(=O)[C@@]1(F)CC1(Cl)Cl
H24P350 ZINCoF00000aI4zS CCC[C@H](C(=O)NC[C@@H](OC)c1ccc(OC)c(OC)c1)C(C)C
H29P090 ZINCtf0000065rjl O=C(NCCC1(O)CN(C(=O)c2coc(Br)n2)C1)[C@@H]1CC(=O)N(C2CCCC2)C1
H27P390 ZINCrJ00000tkqtI COc1c(C)csc1C(=O)N1CC[C@H](NC(=O)Cc2ccc(Cl)s2)[C@H](C)C1
H29P320 ZINCtC000001FuAw CC[C@@H]1CCC[C@]1(C)C(=O)N[C@H](C)C1CCN(C(=O)[C@H]2CN3CCC2CC3)CC1
H28P330 ZINCsD00000ipXMH C=CCCCCC(=O)N1C[C@@H](C)CN(C(=O)c2cccn3cncc23)C[C@H]1C
H26P200 ZINCqq0000095pbf C[C@H]1C[C@H](NC(=O)COc2ccc(C#N)cc2)CN(C(=O)C(C)(C)F)C1
H26P260 ZINCqw00000Ffbw4 Cc1nc(CN(CC[C@H]2COC(C)(C)O2)C(=O)C[C@@H]2CCCC2=O)co1
H24P000 ZINCo60000167Gxb C[C@H]1CN([C@H](c2cc(Cl)n(C)n2)c2nnnn2C)CCS(=O)(=O)C1
H26P500 ZINCqU00000iKFmf COC(=O)c1cc(F)cc(CSCc2csc([C@@H](C)OCC(C)C)n2)c1
H28P170 ZINCsn0000121UNi O=C(N[C@@H]1CN(C(=O)C2SCCCS2)CC12CCC2)c1ncn2c1COCC2
H29P360 ZINCtG00000FiNFL C[C@H](C(=O)N[C@@]1(C#N)CCN(Cc2ccc(OCCCl)cc2)C1)c1ccccc1
H29P350 ZINCtF00000Ueiwq Cc1ccc(Cl)cc1CN(C[C@H]1CC[C@@H]1C1CCC1)C(=O)[C@H]1COC[C@H]1C(N)=O
H28P360 ZINCsG000004DeHt CC[C@@H](CC(C)C)C(=O)N1C[C@H]2C[C@@H](NC(=O)c3ccn(C(C)C)n3)C[C@H]1C2
H26P250 ZINCqv00000Ffbwd Cc1nc(CN(CC[C@@H]2COC[C@H]2C)C(=O)[C@@H]2C[C@@H]3CC[C@@H]3C2)nn1C
H27P070 ZINCrd00001JsEM7 CC(C)c1ccc(C(=O)N[C@@H]2COC[C@H]2NC(=O)CC2(N(C)C)COC2)o1
H27P190 ZINCrp00000yyMwj COC1(C#N)CC(C(=O)N[C@@H]2C=C[C@H](CNC(=O)c3ncccc3Br)C2)C1
H25P020 ZINCp8000015MC3V CCOCCCNC(=O)C1(CCNC(=O)Cn2cnnn2)CCCC1
H26P160 ZINCqm00001mW6cn C#CC1(C(=O)NCCCN2CCN(C(=O)[C@@H]3CC34CCCC4)CC2)CC1
H28P240 ZINCsu00000DRLj6 CCn1nnnc1[C@@H](c1cn(C)nc1C(F)F)N1CCC[C@@H](COC(F)F)C1
H28P040 ZINCsa00001RseQS O=C(c1cc(CNC(=O)[C@@]23CC[C@@H](CC2=O)C3)no1)N1CC2(CCOC2=O)C1
H28P190 ZINCsp0000121UN7 O=C(N[C@@H]1CN(C(=O)c2n[nH]c3c2COC3)[C@]2(CCOC2)C1)c1sccc1Cl
H29P040 ZINCta00000hiEp4 CCc1cncc(C(=O)NCCCOCCNC(=O)c2coc(S(N)(=O)=O)c2)c1
H28P080 ZINCse00002fTAsf Cc1ccn(CC(=O)N2CC[C@H](CNC(=O)c3ccnc(C)c3C)[C@@H](O)C2)n1
H24P060 ZINCoc0000065lQp Cn1ccnc1SCC(=O)Nc1ccnc(-n2cc(CO)nn2)c1
H29P460 ZINCtQ000003WLuM C[C@@H](CC1CCN(C(=O)c2cc(Cl)c(Cl)n2C)CC1)NC(=O)C1CC2(CCC2)C1
H27P140 ZINCrk00000RiiDa CC(=O)NCCCC(=O)NC(C)(C)CN(C)C(=O)c1noc2c1CCCC2
H27P190 ZINCrp00000yyNDA COC1(C(=O)N2CC[C@H]3CN(C(=O)Cn4cnc(Br)c4)CC[C@@H]3C2)CCC1
H29P220 ZINCts00000s9veF CC(C)C[C@H](NC(N)=O)C(=O)N[C@H](C)[C@@H]1CCCN1C(=O)c1csc(C(F)F)n1
H19P030 ZINCj900000d9mNk N=c1[nH]nc(C(=O)N2CCC[C@H](c3ccno3)C2)[nH]1
H28P120 ZINCsi00002fTAsG CC1(C)CN(CC(=O)N2CCCOC[C@H](NS(=O)(=O)CCCC(F)(F)F)C2)C1
H27P250 ZINCrv00000PSmvd COCc1ccc(C(=O)NC[C@@H](CCN=c2[nH]c(OC)ncc2Cl)OC)s1
H27P300 ZINCrA00000xl8F1 CC(C)OC1(C(=O)N2C[C@H](C)[C@@H](CC(=O)N3CCC[C@H](CF)C3)C2)CCC1
H28P010 ZINCs700002Bfozd CN1CCN(C)[C@@H](C(=O)N2CC[C@](CF)(C(=O)N(C)[C@@H]3C[C@H]4CC[C@@H]3O4)C2)C1
H28P120 ZINCsi00002fTAs9 Cc1ccnc(C(=O)N2CC[C@@H](CC(=O)N[C@H]3C[C@@H]3c3cnn(C)c3)C2)c1N
H27P260 ZINCrw00000PSmv9 COCc1ccc(C(=O)NC[C@H]2C[C@H](F)CN2C(=O)CCc2nccs2)s1
H25P350 ZINCpF00000kqyGO C[C@@H](NC(=O)[C@@H]1CCSC1)[C@H]1CCCN1C(=O)c1csc(C(F)F)c1
H28P350 ZINCsF000001JIE8 CC[C@H](CCOC)C(=O)N1CCC([C@@H](C)NC(=O)C=Cc2ccccc2)CC1
H27P100 ZINCrg00001JsELD CC(C)c1ccc(C(=O)N[C@H]2C3C[C@H]4[C@@H](C3)C24C(=O)N[C@H]2COC[C@H]2O)o1
H24P060 ZINCoc0000065mZ9 Cn1cnc(C(=O)NCC2(C)CCN(CCCS(C)(=O)=O)CC2)c1
H18P200 ZINCiq00000cuh25 C=CCOC(=O)COC(=O)c1cc(Cl)cn1CC
H26P280 ZINCqy000004Ch6f Cn1cc(Br)cc1C(=O)N1CCCC[C@H]1c1cn([C@H]2CCC[C@@H]2O)nn1
H28P340 ZINCsE000004OdkR CC(C)(C)C(=O)N1CC[C@@H](CNC(=O)c2csc(Cc3ccc(F)cc3)n2)C1
H29P230 ZINCtt00000xdJni COc1ccc(Br)cc1CN[C@@H](c1ccc(S(N)(=O)=O)s1)c1nnnn1C1CC1
H25P180 ZINCpo00000SIptL CC[C@H]1CO[C@H](CC)CN1C(=O)C1(NC(=O)C(=O)C2CCCC2)CC1
H29P150 ZINCtl00000PCEkK O=C([C@H]1CCCn2nccc21)N1CCC(CNC(=O)C2(n3cccn3)CC2)CC1
H25P230 ZINCpt00000fkgiT CCC[C@@H](C)C(=O)N1CCO[C@H](CC(=O)Nc2cc(F)nc(F)c2)C1
H24P400 ZINCoK00000aI4r0 CC(C)(C)OC(=O)N1C[C@H](COC(=O)c2ccc(F)s2)CC1(C)C
H24P060 ZINCoc0000065mKo Cn1cnc(C(=O)N2C[C@H]3CC[C@H]2CN3C(=O)C2CC(F)(F)C2)n1
H29P190 ZINCtp000012VPPv C[C@H]1[C@@H](C)[C@@H]1C(=O)N1CC[C@@H](OCC2CCN(C(=O)C3CCS(=O)CC3)CC2)C1
H25P420 ZINCpM00000ylDCR CC(C)(C)NC(=O)c1[nH]c2ccccc2c1-c1ccnc2[nH]ccc12
H25M000 ZINCp5000015JidX C#CC[C@]1(O)C[C@@H](C(=O)N(CC)CC(=O)N2CCN(C)[C@H](C#C)C2)C1
H25P140 ZINCpk00001BLwar CCCC[C@@H](CO)NC(=O)[C@@H]1C[C@@H](F)CN1C(=O)CCn1cccc1
H29M000 ZINCt500002pFEuL Cn1ncc(NC(=O)c2cnn(CCNC(=O)[C@@H]3[C@H]4CCC(=O)[C@H]43)c2)c1C(N)=O
H27P260 ZINCrw00000PSmw5 COCc1cc([C@H](NC2(c3cccs3)CC2)c2nnnn2CCSC)on1
H24P140 ZINCok00000sIMuv C[C@@H](CN(C)C(=O)CN(C)C1CC1)C(=O)NCc1ccc(C#N)s1
H23P470 ZINCnR000010eT2P CC(C)CCCCN(Cc1cccc(Cl)n1)CC(C)(C)[C@H](C)O
H29P010 ZINCt700002pFEuW Cn1nc(CNC(=O)[C@@]2(CO)CCCCO2)cc1C(=O)NC[C@@H](CO)C1CCC1
H26P300 ZINCqA00000xhImc Cc1cc(CCNC(=O)C(=O)Nc2cccnc2-c2ccc(Cl)s2)no1
H28P200 ZINCsq000008xbyy CCCC[C@@H](O)C(=O)N[C@@H]1CN(C(=O)c2[nH]c(C)c(C(C)=O)c2C)C[C@H]1SC
H25P160 ZINCpm00000SIptq CC[C@@H]1COCCN(C(=O)COC(C)(C)CNC(=O)C2[C@H](C)[C@H]2C)C1
H26P290 ZINCqz00000xhIm3 CC1(C)CC(CNC(=O)Cn2ncc(C#N)c2N)(c2ccc(Br)cc2)C1
H27P310 ZINCrB00000aXSeg CCC(C)(C)C(=O)N[C@@H]1CN(C(=O)c2cc(F)cc3ccncc23)[C@H]2C[C@H]12
H24P230 ZINCot000004C3cG COC1CC(C(=O)O)(n2nnc(CCc3c(Cl)cccc3Cl)n2)C1
H29P410 ZINCtL00000NhJz1 COc1cc(C)nc(N[C@H]2CC[C@@H](CC(=O)Nc3ccc(O)c(C)c3C)CC2)n1
H29P500 ZINCtU00000tS4Pj CCCCC[C@@H](CC)C(=O)N(C)C[C@H]1CC[C@H](CNC(=O)[C@H](CC)CCC)CC1
H28P180 ZINCso0000121UNp O=C(N[C@H]1CN(C(=O)CC2CC2)CC2(CCOCC2)C1)[C@@H]1C[C@H]1c1cn[nH]c1
H28P160 ZINCsm00000M6ych CCn1ccc(C(=O)NC2CC([C@@H]3CCN(C(=O)c4cncc(O)c4)C3)C2)n1
H28P040 ZINCsa00002Bfoym CN1CCN(C)[C@H](CN=c2nc(N3CCN4CCC[C@@H]4C3)c3c([nH]2)COC3)C1
H27P120 ZINCri00000Ricaz CCOCCOCCC(=O)NCCN(C)C(=O)c1cccc(OCC)c1N
H27P200 ZINCrq00000RvRTP Cc1[nH]nc(CN(CCNC(=O)C(C)(C)C)C(=O)[C@H]2CCCC[C@H]2O)c1C
H25P190 ZINCpp00000SIptT CC[C@H]1CO[C@H](CC)CN1C(=O)C(C)(C)NC(=O)c1cnn(C)c1Cl
H29P040 ZINCta00000hinJ6 CCc1cccc(C(=O)N[C@@]2(CO)CCCN(C(=O)c3nnc(C)cc3O)C2)n1
H28P390 ZINCsJ00000g39vF CC(C)C[C@H](CNC(=O)C(F)(F)Sc1ccc(F)cc1)NC(=O)[C@]1(F)C[C@H]1C
H27P330 ZINCrD00000rSZT2 CC(C)(C)n1ncc(C#N)c1NC(=O)N[C@H]1CCO[C@@H]1c1cncc(Br)c1
H27P190 ZINCrp00000yyNA4 COC1(C(=O)N2CC[C@H](NC(=O)Cc3csc(S)n3)[C@@H](F)C2)CCSCC1
H23P060 ZINCnc000000L6hk CS(=O)(=O)CCN(C1CC1)S(=O)(=O)c1ccn([C@H]2CC2(F)F)n1
H27P070 ZINCrd00000lDtQI COCC(=O)N(C)C[C@@H]1CCCN1C(=O)CNS(=O)(=O)c1ccccc1Cl
H28P210 ZINCsr00000qiz3m Cc1ccccc1CC(=O)NC[C@@H]1OCC[C@H]1C(=O)NCCCOC(F)(F)F
H26P280 ZINCqy000004CgJN Cn1cc(-n2cc(CNC(=O)c3ccc4cc(Br)ccc4c3)nn2)cn1
H27P160 ZINCrm00001S4eof CC1(S(=O)(=O)N[C@@H]2C[C@@H]2[C@@H]2CCCN(C(=O)[C@@H](CO)C(F)(F)F)C2)CCC1
H29P170 ZINCtn00001So1ph CCc1cc(O)ccc1NC(=O)[C@H](CCC1CC1)NC(=O)CN1C(=O)CCC1=O
H26M000 ZINCq5000001skJl CCOC(=O)C1(C(=O)NC[C@@H]2CN(C(=O)c3[nH]nnc3C)CCO2)CC1
H29P190 ZINCtp00000KOgwW CCc1nc(C)c(C(=O)NC[C@H]2CN(C(=O)c3cc4cccnn4c3)CCO2)s1
H28P430 ZINCsN000000Vl7H Cc1ncc(S(=O)(=O)NC(=O)[C@@H](Oc2cc(Cl)ccc2Cl)c2ccccc2)s1
H26P410 ZINCqL00000iKFmj COC(=O)c1cc(F)cc(F)c1NC(=O)c1cn(C)c2ccc(Cl)cc12
H27P190 ZINCrp00000yyNMp COC1(C(=O)N2C[C@@H](O)C[C@H](NC(=O)Cc3cccc(Br)c3C)C2)CCC1
H29P390 ZINCtJ000019Msda Cc1c(Br)coc1C(=O)N(Cc1cn(CC(C)(C)[N+](=O)[O-])nn1)C1CCCCC1
H28P160 ZINCsm00001dmnuP COc1cnnc(C(=O)N[C@H]2CN(C(=O)C[C@H]3CCC(C)(C)C3)C[C@H]2OC)c1
H29P460 ZINCtQ000003WKI2 C[C@@H](CC1CCN(C(=O)OC(C)(C)C)CC1)NC(=O)NC1C[C@H]2CCC[C@H](C1)C2
H23P060 ZINCnc000000L6Km CS(=O)(=O)C[C@@H]1C[C@H](F)CN1C(=O)c1coc([C@@H]2CCCN2)n1
H24P330 ZINCoD00000gZZiZ CSCC(=O)N[C@@H]1C[C@H]2C[C@H]1CN(C(=O)c1c(Cl)sc(C)c1C)C2
H28P230 ZINCst00000isYTa CCOC=CC(=O)N1CC[C@@H]1CNC(=O)c1cnn(-c2ccc(C)cc2)c1C
H26P300 ZINCqA00000xhImq CC1CC(C)(CNC(=O)N[C@@H]2CN(C(=O)OC(C)(C)C)C[C@@H]2N=[N+]=[N-])C1
H27P390 ZINCrJ00000mR9D4 O=C(Nc1ccc(NC(=O)C2(CC(F)F)CCOCC2)cc1)c1ccco1
H29P090 ZINCtf0000065smQ O=C(NCCC1CC(N=c2ccnc(CO)[nH]2)C1)c1cncc(-n2ccnn2)c1
H27P290 ZINCrz00000xl8EL CC(C)OC1(C(=O)N2CC[C@H]([C@H](C)C(=O)N(C)Cc3cscn3)C2)CCC1
H24P230 ZINCot000004C3iN COCCCC(=O)N[C@@H](C)[C@H]1CCCCN1C(=O)c1csc(S)n1
H23P260 ZINCnw00000j2rPq CCCCS[C@H](C)C(=O)N(C)CC[C@@H](C)NC(=O)CCCOC
H26P180 ZINCqo00001mWdiz Cc1ccccc1C(=O)N[C@H]1CC[C@@H]1NC(=O)CC(=O)Nc1nccs1
H29P230 ZINCtt00000xdJnR COc1ccc(Br)nc1[C@H](C(=O)NCCCSC)N1CC[C@@]2(CC(=O)N(C)C2)C1
H25P310 ZINCpB00000aZYg9 CCC=C(F)C(=O)N1CC[C@@H](NC(=O)/C=C/S(F)(F)(F)(F)F)[C@H](O)C1
H29P150 ZINCtl00000PCFuS O=C([C@H]1CCOC2(CCC2)C1)N1CCC[C@@](O)(CCNC(=O)C2(O)CCCC2)C1
H29P280 ZINCty00000CNCHo CC[C@H]1CC[C@@H](CNC(=O)C[C@H]2CN(C(=O)[C@H](CC3CCC3)OC)CC23CC3)O1
H29P090 ZINCtf00001rXQq2 Cc1nc(NC(=O)C[C@H]2CN(c3cc4ncnn4cn3)CCO2)ccc1[N+](=O)[O-]
H29P380 ZINCtI000019MsdU Cc1cc2c(cc1NC(=O)N(CC1=CCCSC1)Cc1cc(C)n(C)n1)OCO2
H21P270 ZINClx00000ghobb Cc1cc2c(cc1OCc1cnn(CC(F)F)c1)OCO2
H29P370 ZINCtH00000o0UhQ Cc1cc2c(cc1CN1CCC[C@@](C)(C(=O)N3CC=C[C@H]3C(C)C)C1)OCCO2
H29P350 ZINCtF00000UeiwS Cc1ccc(Cl)cc1C(=O)N[C@H]1C[C@@H]2CC[C@H]1C[C@@H]2NC(=O)[C@H](C)n1ccnc1
H25P310 ZINCpB00000aZYBQ CCC=C(F)C(=O)N1CC[C@H](CNC(=O)C2C3(CCC3)C23CCC3)C1
H29P390 ZINCtJ000019Msdu CC1CC2(C1)CC(N[C@@](C)(c1nnnn1Cc1ccc(Cl)cc1)[C@H]1CCCO1)C2
H28P220 ZINCss00000qGBqT C=C(C)[C@H](CC(=O)NC[C@@H](CC1CC1)C(=O)NCCc1c[nH]nc1C)OCC
H29M000 ZINCt500002pFEue Cn1nc(CNC(=O)c2cncc(O)c2)cc1C(=O)N1CC(O)(c2cc[nH]n2)C1
