tranche zincid SMILES
H28P360 ZINCsG000003BcL7 CC(C)(C)CC(C)(C)C(=O)NCCC1CCN(C(=O)C2=C[S@@](=O)CCC2)CC1
H26P220 ZINCqs00000cnoE1 C[C@H]1C(C(=O)N[C@@H]2CCC[C@@H](C(=O)N(C)CCN=[N+]=[N-])CC2)=NO[C@@H]1C
H24M000 ZINCo50000167GxL C[C@@H]1CN([C@@H](c2nncn2C)c2nnnn2C2CC2)CCS1(=O)=O
H28P330 ZINCsD00000ipXN3 C#CCCCCC(=O)N1C[C@H](CNC(=O)c2cccnc2CC)CC12CCC2
H29P040 ZINCta00000hiBiL CCc1cnc(CC(=O)NC2CCC(N(C)C(=O)CCc3nc(O)n[nH]3)CC2)[nH]1
H28P190 ZINCsp0000121UNh O=C(N[C@@H]1CN(C(=O)c2scc3c2OCCO3)CC[C@@H]1CO)c1cc(F)cs1
H29P180 ZINCto00001So1oI CCc1ccoc1C(=O)N1CCN(C[C@H](C)NC(=O)C2(CF)CCOCC2)CC1
H28P100 ZINCsg00000FCm7B CCc1ncncc1C(=O)NC[C@@H]1C[C@H]2CN(C(=O)CC3(C)OCCO3)C[C@@H]12
H28P310 ZINCsB0000069tY3 C=CC1(CC(=O)N[C@@H]2CCN(C(=O)c3cncc(C(C)=O)c3)C2)CCCCC1
H24P500 ZINCoU000010eT2C C=CCCCCCN(Cc1cccc(Cl)n1)Cc1nocc1CC
H29P230 ZINCtt00000xdJnF COc1ccc(Br)c(F)c1[C@@H](NC[C@H]1CC2(CCOCC2)CO1)c1nnnn1C
H27P400 ZINCrK00000tkqtT COc1c(C)csc1C(=O)N1CC[C@@](NC(=O)CCC(C)(C)C)(C2CC2)C1
H29P430 ZINCtN00001rhahP CCC[C@](C)(O)CN(CCc1ccccc1OC)Cc1cc(OC)cc(OC)c1
H22P300 ZINCmA00000bjbie COC(=O)C[C@@H](NCc1cc(C#N)c(OC)cc1Br)C(C)C
H29M000 ZINCt500002pFEuJ Cn1nc(CNC(=O)c2cnn3c2OCC3)cc1C(=O)NCCN1CCOC1=O
H28P220 ZINCss00000qGBro CCC[C@H](CC(=O)NC[C@H](CC)N1CCCC1)NC(=O)CCn1ccc(C)n1
